string_address	value_preview	from_address	from_function	ref_type
004364c4	"Gemtree 32-compiler"	00415083	FUN_00414fd0	DATA
004364c4	"Gemtree 32-compiler"	00425224		DATA
004364d8	"Software\\\\Gemtree Software\\\\Peter"	00409393	entry	DATA
004364d8	"Software\\\\Gemtree Software\\\\Peter"	004364b8		DATA
004365a4	"Wszystkie pliki"	0043638c		DATA
004365b4	"Anuluj"	00436388		DATA
004365bc	"Ich bedauere, das Programm wird wegen Speicherplatzmangel beendet!"	00436234		DATA
00436600	"Speicherplatzmangel"	00436230		DATA
00436614	"Alle Dateien"	0043622c		DATA
00436624	"Abbrechen"	00436228		DATA
00436690	"Storno"	004361e8		DATA
00436690	"Storno"	00436428		DATA
00436698	"Sorry, this program will be terminated due to the insufficient memory!"	0040d387	FUN_0040d370	DATA
00436698	"Sorry, this program will be terminated due to the insufficient memory!"	00436274		DATA
00436698	"Sorry, this program will be terminated due to the insufficient memory!"	004361d4		DATA
00436698	"Sorry, this program will be terminated due to the insufficient memory!"	00436214		DATA
00436698	"Sorry, this program will be terminated due to the insufficient memory!"	00436254		DATA
00436698	"Sorry, this program will be terminated due to the insufficient memory!"	00436294		DATA
00436698	"Sorry, this program will be terminated due to the insufficient memory!"	004362b4		DATA
00436698	"Sorry, this program will be terminated due to the insufficient memory!"	004362d4		DATA
00436698	"Sorry, this program will be terminated due to the insufficient memory!"	004362f4		DATA
00436698	"Sorry, this program will be terminated due to the insufficient memory!"	00436314		DATA
00436698	"Sorry, this program will be terminated due to the insufficient memory!"	00436334		DATA
00436698	"Sorry, this program will be terminated due to the insufficient memory!"	00436354		DATA
00436698	"Sorry, this program will be terminated due to the insufficient memory!"	00436374		DATA
00436698	"Sorry, this program will be terminated due to the insufficient memory!"	004363b4		DATA
00436698	"Sorry, this program will be terminated due to the insufficient memory!"	004363d4		DATA
00436698	"Sorry, this program will be terminated due to the insufficient memory!"	004363f4		DATA
00436698	"Sorry, this program will be terminated due to the insufficient memory!"	00436414		DATA
00436698	"Sorry, this program will be terminated due to the insufficient memory!"	00436454		DATA
00436698	"Sorry, this program will be terminated due to the insufficient memory!"	00436474		DATA
00436698	"Sorry, this program will be terminated due to the insufficient memory!"	00436494		DATA
00436698	"Sorry, this program will be terminated due to the insufficient memory!"	004364b4		DATA
004366e0	"Insufficient Memory"	0040d386	FUN_0040d370	DATA
004366e0	"Insufficient Memory"	00436270		DATA
004366e0	"Insufficient Memory"	004361d0		DATA
004366e0	"Insufficient Memory"	00436210		DATA
004366e0	"Insufficient Memory"	00436250		DATA
004366e0	"Insufficient Memory"	00436290		DATA
004366e0	"Insufficient Memory"	004362b0		DATA
004366e0	"Insufficient Memory"	004362d0		DATA
004366e0	"Insufficient Memory"	004362f0		DATA
004366e0	"Insufficient Memory"	00436310		DATA
004366e0	"Insufficient Memory"	00436330		DATA
004366e0	"Insufficient Memory"	00436350		DATA
004366e0	"Insufficient Memory"	00436370		DATA
004366e0	"Insufficient Memory"	004363b0		DATA
004366e0	"Insufficient Memory"	004363d0		DATA
004366e0	"Insufficient Memory"	004363f0		DATA
004366e0	"Insufficient Memory"	00436410		DATA
004366e0	"Insufficient Memory"	00436450		DATA
004366e0	"Insufficient Memory"	00436470		DATA
004366e0	"Insufficient Memory"	00436490		DATA
004366e0	"Insufficient Memory"	004364b0		DATA
004366f4	"All files"	0043626c		DATA
004366f4	"All files"	004361cc		DATA
004366f4	"All files"	0043620c		DATA
004366f4	"All files"	0043624c		DATA
004366f4	"All files"	0043628c		DATA
004366f4	"All files"	004362ac		DATA
004366f4	"All files"	004362cc		DATA
004366f4	"All files"	004362ec		DATA
004366f4	"All files"	0043630c		DATA
004366f4	"All files"	0043632c		DATA
004366f4	"All files"	0043634c		DATA
004366f4	"All files"	0043636c		DATA
004366f4	"All files"	004363ac		DATA
004366f4	"All files"	004363cc		DATA
004366f4	"All files"	004363ec		DATA
004366f4	"All files"	0043640c		DATA
004366f4	"All files"	0043644c		DATA
004366f4	"All files"	0043646c		DATA
004366f4	"All files"	0043648c		DATA
004366f4	"All files"	004364ac		DATA
00436700	"Cancel"	00436268		DATA
00436700	"Cancel"	004361c8		DATA
00436700	"Cancel"	00436208		DATA
00436700	"Cancel"	00436248		DATA
00436700	"Cancel"	00436288		DATA
00436700	"Cancel"	004362a8		DATA
00436700	"Cancel"	004362c8		DATA
00436700	"Cancel"	004362e8		DATA
00436700	"Cancel"	00436308		DATA
00436700	"Cancel"	00436328		DATA
00436700	"Cancel"	00436348		DATA
00436700	"Cancel"	00436368		DATA
00436700	"Cancel"	004363a8		DATA
00436700	"Cancel"	004363c8		DATA
00436700	"Cancel"	004363e8		DATA
00436700	"Cancel"	00436408		DATA
00436700	"Cancel"	00436448		DATA
00436700	"Cancel"	00436468		DATA
00436700	"Cancel"	00436488		DATA
00436700	"Cancel"	004364a8		DATA
00436708	"LOADER"	004096d8	entry	DATA
00436710	"GetDiskFreeSpaceExA"	00409458	entry	DATA
00436724	"KERNEL32.DLL"	00409444	entry	DATA
00436734	"Language"	004093c8	entry	DATA
00436740	"\\\\command.com /c"	00409cb8	FUN_00409af0	DATA
00436750	"\\\\system32\\\\cmd.exe /c"	00409c79	FUN_00409af0	DATA
00436780	"PeterProgClass"	0040a8af	FUN_0040a790	DATA
00436780	"PeterProgClass"	0040a8fc	FUN_0040a790	DATA
00436780	"PeterProgClass"	00415cda	FUN_00415be0	DATA
004367a0	"commdlg_FindReplace"	0040be03	FUN_0040ba30	DATA
0043691c	"Button"	004158f2	FUN_004158f0	DATA
0043692c	"RichEdit"	00415992	FUN_00415990	DATA
00436938	"Listbox"	004159e2	FUN_004159e0	DATA
00436940	"Combobox"	00415a32	FUN_00415a30	DATA
0043694c	"Static"	00415a82	FUN_00415a80	DATA
00436954	"SysTabControl32"	00415ad2	FUN_00415ad0	DATA
00436964	"Impact"	00415b22	FUN_00415b20	DATA
0043696c	"Arial"	0041b328	FUN_0041b2e0	DATA
0043696c	"Arial"	0041b36d	FUN_0041b2e0	DATA
0043696c	"Arial"	00415eba	FUN_00415d40	DATA
00436974	"Times New Roman"	00415ea4	FUN_00415d40	DATA
00436984	"Courier New"	0041b3d5	FUN_0041b2e0	DATA
00436984	"Courier New"	0041b41e	FUN_0041b2e0	DATA
00436984	"Courier New"	00415e6a	FUN_00415d40	DATA
00436990	"cdaudio"	0041782f	FUN_00417810	DATA
00436998	"ALIASES.INI"	00418425	FUN_00418390	DATA
004369a4	"LANGID "	004184e0	FUN_004184c0	DATA
004369b0	"DISPLAY"	00421ccb		DATA
004369b8	"{\\\\RTF"	00422552	FUN_00422550	DATA
004369cc	"sequencer"	004282fa	FUN_00428250	DATA
004369d8	"msctls_progress32"	0042b0c2	FUN_0042b0c0	DATA
004369ec	"msctls_trackbar32"	0042b142	FUN_0042b140	DATA
00436a00	"SCROLLBAR"	0042b1f2	FUN_0042b1f0	DATA
00436a0c	"RICHED32.DLL"	0042b689	FUN_0042b680	DATA
00436a1c	"SysListView32"	0042b7f2	FUN_0042b7f0	DATA
00436a48	"DirectSoundCreate"	0042cc4e	FUN_0042cc10	DATA
00436a5c	"DSOUND.DLL"	0042cc30	FUN_0042cc10	DATA
00436a70	" (*.*)"	0042fdf5		DATA
